Title,Author,Link,Bookshelf
"Zoological Mythology; or, The Legends of Animals, Volume 1 (of 2)",De Gubernatis,http://www.gutenberg.org/ebooks/38687,Animals-Wild
Wild Animals at Home,Ernest Thompson Seton,http://www.gutenberg.org/ebooks/27887,Animals-Wild
Ways of Wood Folk,William J. Long,http://www.gutenberg.org/ebooks/18193,Animals-Wild
Animals of the Past,Frederic A. Lucas,http://www.gutenberg.org/ebooks/38013,Animals-Wild
A Hundred Anecdotes of Animals,Percy J. Billinghurst,http://www.gutenberg.org/ebooks/24263,Animals-Wild
Squirrels and Other Fur-Bearers,John Burroughs,http://www.gutenberg.org/ebooks/24388,Animals-Wild
Stories about Animals: with Pictures to Match,Francis C. Woodworth,http://www.gutenberg.org/ebooks/18767,Animals-Wild
"Zoological Illustrations, Volume 1",William Swainson,http://www.gutenberg.org/ebooks/39471,Animals-Wild
Creatures of the Night: A Book of Wild Life in Western Britain,Rees,http://www.gutenberg.org/ebooks/29349,Animals-Wild
The Minds and Manners of Wild Animals: A Book of Personal Observations,Hornaday,http://www.gutenberg.org/ebooks/6052,Animals-Wild
Tales of the Fish Patrol,Jack London,http://www.gutenberg.org/ebooks/28693,Animals-Wild
Wilderness Ways,William J. Long,http://www.gutenberg.org/ebooks/15950,Animals-Wild
Wild Nature Won By Kindness,Mrs. Brightwen,http://www.gutenberg.org/ebooks/21111,Animals-Wild
Marvels of Pond-life,Henry James Slack,http://www.gutenberg.org/ebooks/36903,Animals-Wild
The Determined Angler and the Brook Trout,Charles Barker Bradford,http://www.gutenberg.org/ebooks/37856,Animals-Wild
"Lobo, Rag and Vixen",Ernest Thompson Seton,http://www.gutenberg.org/ebooks/14226,Animals-Wild
Anecdotes of the Habits and Instinct of Animals,Mrs. R. Lee,http://www.gutenberg.org/ebooks/21973,Animals-Wild
Natural History in Anecdote,Alfred H. Miles,http://www.gutenberg.org/ebooks/37959,Animals-Wild
The Extermination of the American Bison,William T. Hornaday,http://www.gutenberg.org/ebooks/17748,Animals-Wild-Trapping
Deadfalls and Snares,A. R. Harding,http://www.gutenberg.org/ebooks/34110,Animals-Wild-Trapping
Fifty Years a Hunter and Trapper,E. N. Woodcock,http://www.gutenberg.org/ebooks/34063,Animals-Wild-Trapping
"Fox Trapping: A Book of Instruction Telling How to Trap, Snare, Poison and Shoot",,http://www.gutenberg.org/ebooks/34076,Animals-Wild-Trapping
Practical Taxidermy,Montagu Browne,http://www.gutenberg.org/ebooks/26014,Animals-Wild-Trapping
Our Vanishing Wild Life: Its Extermination and Preservation,William T. Hornaday,http://www.gutenberg.org/ebooks/13249,Animals-Wild-Trapping
Jorrocks' Jaunts and Jollities,Robert Smith Surtees,http://www.gutenberg.org/ebooks/15387,Animals-Wild-Trapping
Hunting in Many Lands: The Book of the Boone and Crockett Club,Grinnell et al.,http://www.gutenberg.org/ebooks/37122,Animals-Wild-Trapping
Science of Trapping,Elmer Harry Kreps,http://www.gutenberg.org/ebooks/34098,Animals-Wild-Trapping
Buffalo Land,W. E. Webb,http://www.gutenberg.org/ebooks/39674,Animals-Wild-Trapping
Home Taxidermy for Pleasure and Profit,Albert Burton Farnham,http://www.gutenberg.org/ebooks/23259,Animals-Wild-Trapping
ABC of Fox Hunting,Sir John Dean Paul,http://www.gutenberg.org/ebooks/30243,Animals-Wild-Trapping
Mr. Sponge's Sporting Tour,Robert Smith Surtees,http://www.gutenberg.org/ebooks/16957,Animals-Wild-Trapping
Mink Trapping: A Book of Instruction Giving Many Methods of Trapping,Harding,http://www.gutenberg.org/ebooks/34093,Animals-Wild-Trapping
The Confessions of a Poacher,F.L.S. John Watson,http://www.gutenberg.org/ebooks/36970,Animals-Wild-Trapping
Fur Farming,A. R. Harding,http://www.gutenberg.org/ebooks/33830,Animals-Wild-Trapping
Methods of Destroying Rats,David E. Lantz,http://www.gutenberg.org/ebooks/34437,Animals-Wild-Trapping
Taxidermy,Leon Luther Pray,http://www.gutenberg.org/ebooks/29691,Animals-Wild-Trapping
Blue-Bird Weather,Robert W. Chambers,http://www.gutenberg.org/ebooks/24389,Animals-Wild-Trapping
Off to the Wilds: Being the Adventures of Two Brothers,George Manville Fenn,http://www.gutenberg.org/ebooks/21359,Animals-Wild-Trapping
The Hunters' Feast: Conversations Around the Camp Fire,Mayne Reid,http://www.gutenberg.org/ebooks/23499,Animals-Wild-Trapping
Letters on an Elk Hunt,Elinore Pruitt Stewart,http://www.gutenberg.org/ebooks/28572,Animals-Wild-Trapping
The Giraffe Hunters,Mayne Reid,http://www.gutenberg.org/ebooks/27911,Animals-Wild-Trapping
Dead Man's Land,George Manville Fenn,http://www.gutenberg.org/ebooks/23922,Animals-Wild-Trapping
Game Birds and Game Fishes of the Pacific Coast,Harry Thom Payne,http://www.gutenberg.org/ebooks/38032,Animals-Wild-Trapping
